Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / Australia,Price / Australia,Compare At Price / Australia,Included / Canada,Price / Canada,Compare At Price / Canada,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
12-cup-glass-carafe,12-cup Glass Carafe,"Power-600 Watt: For optimal brewing temperature. Capacity-600 ml: Make upto 6 cups of coffee at a time
Anti-Drip Function: Ensures safety &amp; cleanliness during operation",Budan,,Machine,"",true,Material,Steel,,,,,1120550231151,0.0,shopify,0,deny,manual,630.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_16de447b-edc1-4998-bf54-68c01bb9dc90.png?v=1672655173,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_16de447b-edc1-4998-bf54-68c01bb9dc90.png?v=1672655173,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
12-cup-glass-carafe,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_d9770c2d-62bf-47ef-a2b0-77108f725fab.png?v=1672655173,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-cup-glass-carafe,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_1ed954db-fb49-410c-86ce-8a1a14955e84.png?v=1672655173,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adventure-reusable-vacuum-quencher-tumbler,Adventure Reusable Vacuum Quencher Tumbler,"Keep your favorite beverage hot, cold, or iced for hours thanks to the Adventure Quencher’s double-wall vacuum insulation. A rotating lid on this stainless steel tumbler gives you the choice of a straw opening, a wide mouth, and a full-cover top to prevent spills.",Coffee WorkDo,,Mugs,"",true,Color,Blue,,,,,1140550231151,0.0,shopify,48,deny,manual,298.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_321efa3e-7e61-4572-a351-77927b3888f6.png?v=1672656648,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_321efa3e-7e61-4572-a351-77927b3888f6.png?v=1672656648,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
adventure-reusable-vacuum-quencher-tumbler,,,,,,,,,Pink,,,,,1140550231152,0.0,shopify,96,deny,manual,256.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_1d661365-8dbc-4e7b-a584-fac86432e9bb.png?v=1672656648,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_1d661365-8dbc-4e7b-a584-fac86432e9bb.png?v=1672656648,kg,,,,,,,,,,,,,,,,,,,
adventure-reusable-vacuum-quencher-tumbler,,,,,,,,,Black,,,,,1140550231153,0.0,shopify,78,deny,manual,248.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_5ff61860-5ef5-4440-8386-c6cbd06f7f74.png?v=1672656648,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_5ff61860-5ef5-4440-8386-c6cbd06f7f74.png?v=1672656648,kg,,,,,,,,,,,,,,,,,,,
aluminium-grinder,Aluminium Grinder,"Coated burr, by crushing and grinding, achieves the finely grounds easily. With over 400 clicks setting, each click shifting by 8.8 microns, you would absolutely have 100% precision control fine or extremely fine for Turkish coffee.",1Zpresso,,Grinder,"",true,Color,Black,,,,,1140550231123,0.0,shopify,56,deny,manual,632.00,680.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_8d6f5b34-8b95-45ba-9a0d-13fe80af5912.png?v=1672658416,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_8d6f5b34-8b95-45ba-9a0d-13fe80af5912.png?v=1672658416,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
aluminium-grinder,,,,,,,,,Yellow,,,,,1140550231124,0.0,shopify,85,deny,manual,642.00,680.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_beab1f02-33e8-49cd-bd8b-0d9e7d0e674b.png?v=1672658419,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_beab1f02-33e8-49cd-bd8b-0d9e7d0e674b.png?v=1672658419,kg,,,,,,,,,,,,,,,,,,,
aluminium-grinder,,,,,,,,,Green,,,,,1140550231125,0.0,shopify,96,deny,manual,563.00,680.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_1218b576-f518-4a51-827a-4713d16c72e5.png?v=1672658419,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5_11eed407-5e25-4d1f-a6c0-65d3922370bf.png?v=1672658419,kg,,,,,,,,,,,,,,,,,,,
aluminium-grinder,,,,,,,,,Grey,,,,,1140550231126,0.0,shopify,56,deny,manual,600.00,680.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5_11eed407-5e25-4d1f-a6c0-65d3922370bf.png?v=1672658419,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/7_8a7228c2-69a1-4488-bd7e-3d05ff0c9ab7.png?v=1672658419,kg,,,,,,,,,,,,,,,,,,,
